idBulan,metode,nama,instansi,lokasi,jenis,waktu,idMetode,id,pagu,idJenisPengadaan,satuanKerja,preprocessing,kategori_kmeans,kategori_lda
1,Seleksi,Penyusunan Dokumen Lingkungan Pengendalian Banjir Kawasan Entrop Kota Jayapura[ 1 DOK],Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Papua-Jayapura (Kota), ","Barang, ",2020-01-01,15,22744892,923450000,0,BALAI WILAYAH SUNGAI PAPUA,penyusunan dokumen lingkungan pengendalian banjir kawasan entrop kota jayapura 1 dok,3,0
1,Tender,Review Rasionalisasi Jaringan Pos Hidrologi Berbasis Infrastruktur SDA,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DI Yogyakarta-Yogyakarta (Kota), ","Jasa Konsultansi, ",2020-01-01,13,22744749,642960000,0,633863,review rasionalisasi jaringan pos hidrologi berbasis infrastruktur sda,15,0
1,Seleksi,SID Air Baku di Daerah Kubu,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Kalimantan Tengah-Kotawaringin Barat (Kab.), ","Jasa Konsultansi, ",2020-01-01,15,22744798,962000000,0,BALAI WILAYAH SUNGAI KALIMANTAN II,sid air baku daerah kubu,14,0
1,Seleksi,Penyusunan Manual O dan P DR. Lagan Hulu Kab.Tanjung Jabung Timur,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jambi-Tanjung Jabung Timur (Kab.), ","Jasa Konsultansi, ",2020-01-01,15,22743221,750000000,0,OPERASI DAN PEMELIHARAAN SUMBER DAYA AIR SUMATERA VI,penyusunan manual o p dr. lagan hulu kab.tanjung jabung timur,5,0
1,Seleksi,Urumuka Multipurpose Dam Development SubProject WS.Wapoga Mimika[ 1 DOK],Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Papua-Paniai (Kab.), ","Barang, ",2020-01-01,15,22744895,8109778000,0,BALAI WILAYAH SUNGAI PAPUA,urumuka multipurpose dam development subproject ws.wapoga mimika 1 dok,14,10
1,Seleksi,Supervisi Rehabilitasi dan Renovasi Sarana Prasarana Sekolah Kab.Manggarai,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Nusa Tenggara Timur-Manggarai (Kab.), ","Jasa Konsultansi, ",2020-01-01,15,22742964,388640000,0,PELAKSANAAN PRASARANA PERMUKIMAN WILAYAH II PROVINSI NUSA TENGGARA TIMUR,supervisi rehabilitasi renovasi sarana prasarana sekolah kab.manggarai,11,0
1,Seleksi,Consulting Services of Bali Beach Conservation Project (Phase 2),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Bali-Denpasar (Kota), ","Jasa Konsultansi, ",2020-01-01,15,22744275,42902430000,0,SNVT PELAKSANAAN  JARINGAN SUMBER AIR BALI-PENIDA,consulting services of bali beach conservation project phase 2,4,10
1,Tender,Active Wave Absorber (attached on exsiting irregular wave),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Bali-Denpasar (Kota), ","Barang, ",2020-01-01,13,22744274,7476864000,0,SNVT PELAKSANAAN  JARINGAN SUMBER AIR BALI-PENIDA,active wave absorber attached on exsiting irregular wave,12,10
1,Seleksi,Penyusunan Manual O dan P DR. Senyerang Kab. Tanjung Jabung Barat,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jambi-Tanjung Jabung Barat (Kab.), ","Jasa Konsultansi, ",2020-01-01,15,22743220,750000000,0,OPERASI DAN PEMELIHARAAN SUMBER DAYA AIR SUMATERA VI,penyusunan manual o p dr. senyerang kab tanjung jabung barat,5,0
1,e-Purchasing,BELANJA MODAL KEPERLUAN PSBU,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Barang, ",2020-01-01,9,22740789,50000000,0,498488,belanja modal keperluan psbu,7,10
