,idBulan,metode,nama,instansi,lokasi,jenis,waktu,idMetode,id,pagu,idJenisPengadaan,satuanKerja
1267,1,Tender,Diseminasi Analisis Hasil dan Manfaat Pengembangan Infrastruktur Terpadu Bidang PUPR di Kawasan Strategis Nasional,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Selatan (Kota), ","Jasa Konsultansi, ",2020-01-01,13,22745361,2000000000,0,PUSAT PERENCANAAN INFASTRUKTUR PUPR
1268,1,Seleksi,Pemeliharaan Perangkat Lunak di Lingkungan Ditjen Bina Marga,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DKI Jakarta-Jakarta Pusat (Kota), ","Jasa Konsultansi, ",2020-01-01,15,22741387,2781264200,0,DIREKTORAT PENGEMBANGAN JARINGAN JALAN
1269,1,Tender,Pembangunan Rumah Susun Jawa Barat 1 (RSNMBR-20-01-JBR),Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jawa Barat-Bandung (Kota), ","Pekerjaan Konstruksi, ",2020-01-01,13,22745109,22873000000,0,SNVT PENYEDIAAN PERUMAHAN PROVINSI JAWA BARAT
1270,1,Seleksi,Kajian Sempadan Danau Nibung Kabupaten Mukomuko[ 1],Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Bengkulu-Mukomuko (Kab.), ","Jasa Konsultansi, ",2020-01-01,15,22744648,1460000000,0,BALAI WILAYAH SUNGAI SUMATERA VII
1271,1,Seleksi,Penyusunan Dokumen Lingkungan Pengendalian Banjir Kawasan Entrop Kota Jayapura[ 1 DOK],Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Papua-Jayapura (Kota), ","Barang, ",2020-01-01,15,22744892,923450000,0,BALAI WILAYAH SUNGAI PAPUA
1272,1,Tender,Review Rasionalisasi Jaringan Pos Hidrologi Berbasis Infrastruktur SDA,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"DI Yogyakarta-Yogyakarta (Kota), ","Jasa Konsultansi, ",2020-01-01,13,22744749,642960000,0,633863
1273,1,Seleksi,SID Air Baku di Daerah Kubu,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Kalimantan Tengah-Kotawaringin Barat (Kab.), ","Jasa Konsultansi, ",2020-01-01,15,22744798,962000000,0,BALAI WILAYAH SUNGAI KALIMANTAN II
1274,1,Seleksi,Penyusunan Manual O dan P DR. Lagan Hulu Kab.Tanjung Jabung Timur,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Jambi-Tanjung Jabung Timur (Kab.), ","Jasa Konsultansi, ",2020-01-01,15,22743221,750000000,0,OPERASI DAN PEMELIHARAAN SUMBER DAYA AIR SUMATERA VI
1275,1,Seleksi,Urumuka Multipurpose Dam Development SubProject WS.Wapoga Mimika[ 1 DOK],Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Papua-Paniai (Kab.), ","Barang, ",2020-01-01,15,22744895,8109778000,0,BALAI WILAYAH SUNGAI PAPUA
1276,1,Seleksi,Supervisi Rehabilitasi dan Renovasi Sarana Prasarana Sekolah Kab.Manggarai,Kementerian Pekerjaan Umum dan Perumahan Rakyat,"Nusa Tenggara Timur-Manggarai (Kab.), ","Jasa Konsultansi, ",2020-01-01,15,22742964,388640000,0,PELAKSANAAN PRASARANA PERMUKIMAN WILAYAH II PROVINSI NUSA TENGGARA TIMUR
